epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.4063,1.12964,2.40268,1.45693,0.01845,0.77999,0.30017,0.15769,1.53742,3.11439,1.92705,0.0670027,3.30303e-05,3.30303e-05
2,75.4751,1.08519,1.65096,1.41799,0.63501,0.61926,0.65176,0.43794,1.16063,1.48608,1.56619,0.0337021,6.57066e-05,6.57066e-05
3,111.768,1.03671,1.39563,1.38963,0.75004,0.67231,0.74427,0.52112,1.14819,1.25025,1.56787,0.000400753,9.7723e-05,9.7723e-05
4,148.131,1.04792,1.32617,1.39088,0.75565,0.68897,0.76213,0.53608,1.13295,1.17594,1.5314,9.703e-05,9.703e-05,9.703e-05
5,184.53,1.0079,1.18794,1.34923,0.73111,0.73079,0.7695,0.52633,1.18238,1.17253,1.55503,9.604e-05,9.604e-05,9.604e-05
6,220.91,1.01099,1.1468,1.35426,0.7828,0.69691,0.76871,0.52927,1.16665,1.11632,1.55644,9.505e-05,9.505e-05,9.505e-05
7,257.176,0.98653,1.10323,1.33741,0.77082,0.69936,0.76559,0.54006,1.14262,1.14016,1.54058,9.406e-05,9.406e-05,9.406e-05
8,293.459,0.99757,1.09756,1.33947,0.77788,0.72666,0.78847,0.55494,1.14776,1.12301,1.52291,9.307e-05,9.307e-05,9.307e-05
9,329.809,0.97485,1.05151,1.3181,0.76297,0.7533,0.79416,0.56028,1.13025,1.0792,1.50753,9.208e-05,9.208e-05,9.208e-05
10,366.172,0.96029,1.0304,1.31328,0.78891,0.7364,0.80022,0.5657,1.13738,1.07012,1.52404,9.109e-05,9.109e-05,9.109e-05
11,402.437,0.95907,0.99116,1.30783,0.78144,0.74819,0.79474,0.55263,1.18716,1.08668,1.58483,9.01e-05,9.01e-05,9.01e-05
12,438.696,0.96514,0.97598,1.29932,0.81633,0.74756,0.82194,0.58502,1.13506,1.04539,1.51762,8.911e-05,8.911e-05,8.911e-05
13,474.946,0.94312,0.95164,1.30251,0.81331,0.74383,0.81042,0.57585,1.14903,1.06255,1.52922,8.812e-05,8.812e-05,8.812e-05
14,511.19,0.93493,0.94253,1.3146,0.80979,0.7268,0.80686,0.57864,1.13273,1.00386,1.48981,8.713e-05,8.713e-05,8.713e-05
15,547.457,0.91712,0.92995,1.27998,0.82801,0.74163,0.812,0.59046,1.1285,0.99947,1.50978,8.614e-05,8.614e-05,8.614e-05
16,583.794,0.92512,0.92572,1.28622,0.84783,0.7289,0.81859,0.57573,1.1359,0.99956,1.51622,8.515e-05,8.515e-05,8.515e-05
17,620.038,0.91418,0.88504,1.27294,0.80582,0.7612,0.80717,0.58563,1.12633,0.97926,1.51184,8.416e-05,8.416e-05,8.416e-05
18,656.23,0.90167,0.89328,1.26592,0.80304,0.74173,0.79064,0.58096,1.11735,1.02377,1.48969,8.317e-05,8.317e-05,8.317e-05
19,692.319,0.91476,0.86897,1.27474,0.80803,0.72637,0.79061,0.56922,1.13134,1.0467,1.50171,8.218e-05,8.218e-05,8.218e-05
20,728.357,0.90295,0.84325,1.27454,0.8247,0.75502,0.81511,0.59605,1.11442,0.97975,1.49104,8.119e-05,8.119e-05,8.119e-05
