epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,487.384,1.06998,1.33921,1.42985,0.50728,0.61967,0.6097,0.40923,1.20404,1.64247,1.67312,0.0667414,3.32919e-05,3.32919e-05
2,966.604,1.00263,1.04122,1.3835,0.78517,0.76267,0.82966,0.579,1.05298,0.83338,1.43917,0.0334407,6.59657e-05,6.59657e-05
3,1439.14,0.97666,0.93265,1.35171,0.83758,0.76194,0.85477,0.60043,1.05201,0.78857,1.46426,0.000139387,9.79794e-05,9.79794e-05
4,1910.72,0.94312,0.86044,1.33334,0.8616,0.80686,0.88209,0.62751,1.03055,0.72796,1.40886,9.703e-05,9.703e-05,9.703e-05
5,2382.21,0.92677,0.80789,1.32497,0.87648,0.85797,0.91623,0.67474,0.98729,0.62521,1.37416,9.604e-05,9.604e-05,9.604e-05
6,2853.72,0.90165,0.7591,1.29816,0.87631,0.83978,0.90311,0.66168,0.97338,0.66865,1.37196,9.505e-05,9.505e-05,9.505e-05
7,3325.15,0.88459,0.72182,1.28836,0.89318,0.8682,0.92003,0.68701,0.94527,0.58407,1.34364,9.406e-05,9.406e-05,9.406e-05
8,3796.73,0.86369,0.6919,1.27538,0.91402,0.87106,0.9303,0.70491,0.91753,0.55152,1.31475,9.307e-05,9.307e-05,9.307e-05
9,4268.37,0.85434,0.67417,1.26261,0.92158,0.88628,0.93591,0.71662,0.90843,0.53367,1.29903,9.208e-05,9.208e-05,9.208e-05
10,4739.51,0.83216,0.6459,1.25268,0.9276,0.88161,0.93776,0.72337,0.90646,0.51391,1.30138,9.109e-05,9.109e-05,9.109e-05
11,5209.97,0.82581,0.62861,1.2431,0.93272,0.89842,0.94641,0.72724,0.89951,0.50007,1.27577,9.01e-05,9.01e-05,9.01e-05
12,5681.32,0.81424,0.60883,1.23419,0.92189,0.89634,0.94783,0.73393,0.87528,0.49714,1.25749,8.911e-05,8.911e-05,8.911e-05
13,6152.33,0.79708,0.5915,1.22648,0.91856,0.9039,0.9421,0.73478,0.87327,0.50836,1.2711,8.812e-05,8.812e-05,8.812e-05
14,6624.72,0.7904,0.57616,1.21958,0.93849,0.91192,0.95368,0.75292,0.84611,0.46762,1.23883,8.713e-05,8.713e-05,8.713e-05
15,7095.86,0.77586,0.56184,1.20672,0.93395,0.91086,0.94703,0.74943,0.8494,0.47023,1.24438,8.614e-05,8.614e-05,8.614e-05
16,7565.25,0.76144,0.54556,1.19895,0.94846,0.91796,0.9552,0.75588,0.8429,0.44636,1.24484,8.515e-05,8.515e-05,8.515e-05
17,8035.79,0.7564,0.53161,1.19252,0.941,0.9233,0.95746,0.76659,0.81702,0.44462,1.2084,8.416e-05,8.416e-05,8.416e-05
18,8507.32,0.74334,0.52382,1.18857,0.9531,0.92123,0.96018,0.77183,0.7997,0.43237,1.19616,8.317e-05,8.317e-05,8.317e-05
