epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.428,1.10851,1.96975,1.43822,0.51155,0.5769,0.53937,0.3124,1.27028,1.75207,1.53923,0.0667826,3.32506e-05,3.32506e-05
2,279.248,1.04595,1.40569,1.37261,0.68934,0.67794,0.72573,0.50062,1.05066,1.20583,1.38057,0.033482,6.59248e-05,6.59248e-05
3,413.104,0.99469,1.19446,1.32818,0.7623,0.74876,0.80924,0.55014,1.04481,0.96414,1.33419,0.000180652,9.79389e-05,9.79389e-05
4,548.283,0.98256,1.09495,1.31265,0.79609,0.78798,0.85221,0.59562,1.02004,0.90048,1.29755,9.703e-05,9.703e-05,9.703e-05
5,681.624,0.95334,1.0328,1.29526,0.8194,0.8014,0.86417,0.61519,1.00093,0.82043,1.29372,9.604e-05,9.604e-05,9.604e-05
6,814.783,0.9372,0.97019,1.27825,0.82823,0.80946,0.8752,0.61677,1.00822,0.80302,1.29231,9.505e-05,9.505e-05,9.505e-05
7,951.145,0.91806,0.92593,1.26673,0.83649,0.83585,0.89942,0.65765,0.958,0.7257,1.2532,9.406e-05,9.406e-05,9.406e-05
8,1084.53,0.91208,0.89367,1.26026,0.83843,0.82656,0.88929,0.64142,0.97465,0.75782,1.26022,9.307e-05,9.307e-05,9.307e-05
9,1217.42,0.89544,0.87065,1.25248,0.86073,0.83536,0.89891,0.66603,0.9301,0.70175,1.24753,9.208e-05,9.208e-05,9.208e-05
10,1351.18,0.88949,0.83608,1.24104,0.8818,0.85484,0.91556,0.68511,0.91188,0.65603,1.21443,9.109e-05,9.109e-05,9.109e-05
11,1487.86,0.87594,0.80542,1.23249,0.89231,0.86721,0.92397,0.69341,0.90653,0.6147,1.20978,9.01e-05,9.01e-05,9.01e-05
12,1621.07,0.87081,0.79085,1.23174,0.8651,0.86556,0.9158,0.68898,0.90703,0.63798,1.20727,8.911e-05,8.911e-05,8.911e-05
13,1754.35,0.86533,0.7688,1.22839,0.88878,0.87897,0.92322,0.69456,0.89099,0.59758,1.19361,8.812e-05,8.812e-05,8.812e-05
14,1888.35,0.8554,0.75357,1.2178,0.89549,0.87651,0.929,0.70279,0.89436,0.59459,1.19503,8.713e-05,8.713e-05,8.713e-05
15,2021.55,0.8503,0.73799,1.21309,0.8973,0.89098,0.93562,0.71354,0.87821,0.56121,1.18371,8.614e-05,8.614e-05,8.614e-05
16,2154.61,0.84639,0.72814,1.21303,0.89193,0.89002,0.92824,0.70719,0.87695,0.58272,1.20864,8.515e-05,8.515e-05,8.515e-05
17,2297.8,0.83384,0.70655,1.20649,0.90848,0.88848,0.94351,0.7233,0.86123,0.54625,1.16818,8.416e-05,8.416e-05,8.416e-05
18,2430.91,0.8344,0.70789,1.20095,0.89725,0.88987,0.9356,0.71732,0.85545,0.5569,1.16843,8.317e-05,8.317e-05,8.317e-05
19,2563.83,0.82601,0.69002,1.19598,0.90819,0.90123,0.94217,0.72501,0.85423,0.53215,1.16288,8.218e-05,8.218e-05,8.218e-05
20,2696.84,0.82088,0.68787,1.19688,0.91513,0.9002,0.94408,0.73142,0.85086,0.52521,1.16056,8.119e-05,8.119e-05,8.119e-05
21,2830.08,0.81666,0.68091,1.19294,0.91502,0.89222,0.93788,0.73015,0.83573,0.53576,1.15343,8.02e-05,8.02e-05,8.02e-05
22,2963.18,0.80635,0.65953,1.18393,0.92199,0.90087,0.94616,0.73584,0.84031,0.51413,1.14966,7.921e-05,7.921e-05,7.921e-05
23,3096.36,0.8009,0.65288,1.18392,0.92987,0.90762,0.94943,0.74298,0.82913,0.49894,1.14177,7.822e-05,7.822e-05,7.822e-05
24,3229.53,0.79899,0.6501,1.18,0.9196,0.9086,0.9464,0.74021,0.82908,0.50079,1.1447,7.723e-05,7.723e-05,7.723e-05
25,3362.03,0.79119,0.63853,1.17513,0.92402,0.90516,0.94836,0.74346,0.82423,0.50184,1.14248,7.624e-05,7.624e-05,7.624e-05
26,3494.69,0.79576,0.64041,1.17808,0.93807,0.89845,0.94956,0.7519,0.81106,0.48974,1.12711,7.525e-05,7.525e-05,7.525e-05
27,3627.57,0.79139,0.62444,1.17257,0.92872,0.91133,0.95369,0.75261,0.80799,0.4818,1.12558,7.426e-05,7.426e-05,7.426e-05
