epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,235.202,1.07224,1.4302,1.39772,0.62968,0.59705,0.65152,0.39477,1.29864,1.36862,1.6294,0.0667826,3.32506e-05,3.32506e-05
2,464.303,0.99333,1.00999,1.31908,0.7905,0.7737,0.84864,0.60698,1.01299,0.77695,1.32001,0.033482,6.59248e-05,6.59248e-05
3,690.262,0.95369,0.88119,1.29174,0.82387,0.79961,0.875,0.62864,0.99867,0.72706,1.30845,0.000180652,9.79389e-05,9.79389e-05
4,916.525,0.9398,0.81653,1.28103,0.84591,0.81331,0.88268,0.6314,1.00192,0.73915,1.30557,9.703e-05,9.703e-05,9.703e-05
5,1142.59,0.91243,0.77635,1.2696,0.86327,0.85334,0.91101,0.66993,0.95551,0.63189,1.27904,9.604e-05,9.604e-05,9.604e-05
6,1368.84,0.89085,0.71765,1.24887,0.87819,0.85743,0.91804,0.68713,0.93701,0.61104,1.271,9.505e-05,9.505e-05,9.505e-05
7,1595.08,0.87377,0.68725,1.23697,0.89287,0.87234,0.93578,0.70225,0.93288,0.56107,1.26721,9.406e-05,9.406e-05,9.406e-05
8,1821.21,0.85984,0.66803,1.22718,0.90677,0.88545,0.9425,0.72479,0.8777,0.51853,1.21455,9.307e-05,9.307e-05,9.307e-05
9,2047.53,0.84355,0.64957,1.22418,0.89518,0.89108,0.93532,0.71463,0.90285,0.5292,1.23819,9.208e-05,9.208e-05,9.208e-05
10,2273.52,0.83211,0.62123,1.2048,0.92314,0.88544,0.94266,0.72855,0.86899,0.51036,1.19907,9.109e-05,9.109e-05,9.109e-05
11,2499.71,0.81626,0.6013,1.19119,0.91876,0.90512,0.94943,0.72886,0.87843,0.49437,1.21443,9.01e-05,9.01e-05,9.01e-05
12,2725.84,0.81081,0.58794,1.19427,0.92151,0.90697,0.95179,0.74681,0.84243,0.48583,1.18413,8.911e-05,8.911e-05,8.911e-05
13,2952.02,0.79628,0.57842,1.17995,0.93762,0.91819,0.9624,0.76433,0.81994,0.44357,1.15131,8.812e-05,8.812e-05,8.812e-05
14,3178.95,0.79042,0.56613,1.17764,0.93192,0.92337,0.95936,0.75382,0.83535,0.45011,1.17079,8.713e-05,8.713e-05,8.713e-05
15,3426.88,0.77736,0.55089,1.16744,0.94763,0.92203,0.9646,0.77231,0.81126,0.42711,1.14969,8.614e-05,8.614e-05,8.614e-05
16,3654.64,0.77156,0.53923,1.16171,0.94297,0.92394,0.96325,0.77243,0.7919,0.42727,1.13388,8.515e-05,8.515e-05,8.515e-05
17,3901.59,0.75754,0.53118,1.15776,0.94294,0.93402,0.96194,0.77346,0.79899,0.42476,1.14386,8.416e-05,8.416e-05,8.416e-05
18,4159.83,0.75598,0.52759,1.15435,0.95275,0.92316,0.96417,0.77563,0.78865,0.42866,1.13517,8.317e-05,8.317e-05,8.317e-05
19,4387.71,0.75005,0.51426,1.14456,0.95229,0.9298,0.96421,0.77874,0.7805,0.42,1.13149,8.218e-05,8.218e-05,8.218e-05
20,4613.24,0.74062,0.51469,1.14495,0.95884,0.9322,0.96982,0.78838,0.76533,0.3883,1.11445,8.119e-05,8.119e-05,8.119e-05
21,4838.81,0.73544,0.50425,1.14155,0.96104,0.93219,0.96247,0.78827,0.76016,0.40544,1.10665,8.02e-05,8.02e-05,8.02e-05
22,5064.34,0.71835,0.48687,1.13212,0.95253,0.94101,0.96789,0.78875,0.76291,0.39213,1.12319,7.921e-05,7.921e-05,7.921e-05
23,5290.27,0.71859,0.48888,1.13372,0.95514,0.94,0.96942,0.79337,0.7463,0.38581,1.10332,7.822e-05,7.822e-05,7.822e-05
24,5515.96,0.70923,0.48512,1.12566,0.95716,0.94077,0.9688,0.79467,0.74615,0.38688,1.10047,7.723e-05,7.723e-05,7.723e-05
25,5741.3,0.69808,0.4734,1.11838,0.9552,0.94422,0.96885,0.79851,0.7399,0.38029,1.09963,7.624e-05,7.624e-05,7.624e-05
26,5966.64,0.69977,0.47197,1.11917,0.9579,0.93993,0.96832,0.80373,0.72617,0.38527,1.09794,7.525e-05,7.525e-05,7.525e-05
