epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,475.751,1.09697,1.48103,1.47817,0.69454,0.68789,0.74198,0.50271,1.12091,1.03237,1.55951,0.0667409,3.32924e-05,3.32924e-05
2,934.501,1.03562,1.15381,1.42274,0.73864,0.71472,0.79098,0.55055,1.0789,0.93687,1.50701,0.0334383,6.39873e-05,6.39873e-05
3,1391.93,1.00644,1.05829,1.40987,0.77381,0.75236,0.80465,0.57743,1.03574,0.82222,1.47983,0.000132992,9.20423e-05,9.20423e-05
4,1847.2,0.98166,0.9954,1.39738,0.80733,0.81632,0.8684,0.61041,1.047,0.73405,1.46174,8.812e-05,8.812e-05,8.812e-05
5,2302.29,0.95543,0.92093,1.36632,0.84552,0.78208,0.86294,0.62528,1.01116,0.7214,1.42498,8.416e-05,8.416e-05,8.416e-05
6,2757.51,0.93471,0.86608,1.34443,0.83585,0.81719,0.87605,0.63636,1.00632,0.67516,1.39556,8.02e-05,8.02e-05,8.02e-05
7,3212.92,0.9191,0.83491,1.33371,0.86594,0.82979,0.89012,0.65717,0.96894,0.65235,1.36973,7.624e-05,7.624e-05,7.624e-05
8,3668.73,0.89942,0.77763,1.31276,0.86509,0.84284,0.89898,0.67238,0.95943,0.61146,1.37033,7.228e-05,7.228e-05,7.228e-05
9,4124.47,0.87914,0.74727,1.31426,0.88699,0.85866,0.91834,0.68446,0.95389,0.57633,1.36415,6.832e-05,6.832e-05,6.832e-05
10,4579.86,0.87305,0.72695,1.30558,0.89983,0.83996,0.91124,0.68319,0.94472,0.59283,1.36576,6.436e-05,6.436e-05,6.436e-05
11,5034.24,0.85188,0.69833,1.29298,0.91214,0.85536,0.92643,0.69916,0.91752,0.55145,1.34662,6.04e-05,6.04e-05,6.04e-05
12,5489.81,0.83963,0.6572,1.2742,0.92203,0.85905,0.93266,0.71221,0.89963,0.52493,1.31072,5.644e-05,5.644e-05,5.644e-05
13,5945.48,0.83182,0.65047,1.26786,0.90316,0.87384,0.93197,0.71092,0.89885,0.51607,1.32756,5.248e-05,5.248e-05,5.248e-05
14,6399.7,0.81364,0.61803,1.27117,0.89159,0.88526,0.93737,0.72102,0.89072,0.50725,1.30804,4.852e-05,4.852e-05,4.852e-05
15,6855.37,0.79446,0.58929,1.25389,0.92762,0.87958,0.94403,0.72772,0.88006,0.49158,1.30249,4.456e-05,4.456e-05,4.456e-05
16,7316.49,0.76481,0.49441,1.26584,0.92013,0.89171,0.94377,0.73138,0.86838,0.49002,1.30105,4.06e-05,4.06e-05,4.06e-05
17,7772.26,0.74892,0.45818,1.25252,0.91528,0.89345,0.94221,0.7248,0.87068,0.48404,1.29733,3.664e-05,3.664e-05,3.664e-05
18,8225.9,0.73267,0.43788,1.22691,0.92025,0.89764,0.94618,0.7378,0.8656,0.47302,1.2798,3.268e-05,3.268e-05,3.268e-05
19,8680.74,0.71172,0.39946,1.21335,0.94231,0.90086,0.95513,0.75428,0.83182,0.444,1.25296,2.872e-05,2.872e-05,2.872e-05
20,9136.2,0.69698,0.39062,1.20131,0.93909,0.91129,0.95115,0.7514,0.82546,0.44096,1.24895,2.476e-05,2.476e-05,2.476e-05
21,9590.1,0.68038,0.36242,1.19258,0.95451,0.89918,0.95471,0.76193,0.82007,0.41959,1.24662,2.08e-05,2.08e-05,2.08e-05
22,10045.9,0.65351,0.34494,1.17419,0.93875,0.90784,0.95286,0.76358,0.81594,0.42695,1.25831,1.684e-05,1.684e-05,1.684e-05
23,10501.3,0.64175,0.33764,1.17393,0.94605,0.91316,0.95472,0.76596,0.80952,0.41958,1.25446,1.288e-05,1.288e-05,1.288e-05
24,10956.7,0.63036,0.31453,1.15746,0.94819,0.92493,0.95509,0.77211,0.80214,0.41086,1.24,8.92e-06,8.92e-06,8.92e-06
25,11413,0.61741,0.30591,1.14911,0.95028,0.92424,0.95632,0.77472,0.79082,0.40681,1.23295,4.96e-06,4.96e-06,4.96e-06
