epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,938.933,1.10935,1.46541,1.48779,0.67618,0.71473,0.74266,0.50623,1.13727,1.1317,1.5962,0.0667409,3.32924e-05,3.32924e-05
2,1704.93,1.04435,1.17416,1.44069,0.75054,0.72999,0.78787,0.54512,1.07609,0.93362,1.51501,0.0334383,6.39873e-05,6.39873e-05
3,2472.64,1.02241,1.08973,1.43017,0.74247,0.72639,0.7679,0.54933,1.04305,0.91732,1.46846,0.000132992,9.20423e-05,9.20423e-05
4,3238.51,0.99546,1.02829,1.42266,0.81833,0.78385,0.8452,0.60187,1.04665,0.77181,1.49965,8.812e-05,8.812e-05,8.812e-05
5,4004.51,0.96589,0.95529,1.38838,0.81576,0.81145,0.86675,0.62719,1.01306,0.69312,1.43382,8.416e-05,8.416e-05,8.416e-05
6,4770.56,0.9369,0.90187,1.3677,0.8006,0.80227,0.86478,0.62502,1.00455,0.74149,1.43259,8.02e-05,8.02e-05,8.02e-05
7,5532.79,0.9277,0.84151,1.36366,0.85712,0.83819,0.90062,0.65494,0.99939,0.66391,1.44182,7.624e-05,7.624e-05,7.624e-05
8,6297.96,0.90348,0.80028,1.33249,0.85584,0.81579,0.88711,0.6502,0.98247,0.67497,1.39222,7.228e-05,7.228e-05,7.228e-05
9,7059.93,0.87857,0.75841,1.3216,0.86002,0.8503,0.9016,0.67261,0.9421,0.60481,1.37316,6.832e-05,6.832e-05,6.832e-05
10,7826.38,0.87461,0.7385,1.31439,0.88313,0.85729,0.91303,0.6903,0.92434,0.57308,1.3591,6.436e-05,6.436e-05,6.436e-05
11,8591.59,0.85125,0.70356,1.29685,0.87696,0.86122,0.91744,0.69447,0.92139,0.58253,1.34248,6.04e-05,6.04e-05,6.04e-05
12,9357.22,0.8298,0.66533,1.27564,0.90315,0.86623,0.92395,0.70724,0.9003,0.52996,1.3252,5.644e-05,5.644e-05,5.644e-05
13,10122.2,0.83045,0.65345,1.26919,0.90929,0.88672,0.94638,0.72524,0.90143,0.49742,1.31384,5.248e-05,5.248e-05,5.248e-05
14,10887.2,0.80397,0.6086,1.26062,0.9205,0.8829,0.94086,0.72515,0.8887,0.49729,1.30057,4.852e-05,4.852e-05,4.852e-05
15,11649.9,0.78605,0.58468,1.24494,0.93504,0.87967,0.94425,0.73508,0.86847,0.4959,1.28822,4.456e-05,4.456e-05,4.456e-05
16,12418,0.75979,0.49354,1.253,0.92191,0.88488,0.94181,0.73121,0.87976,0.48231,1.29344,4.06e-05,4.06e-05,4.06e-05
17,13180.8,0.74153,0.45363,1.23397,0.91393,0.8975,0.95065,0.73466,0.88316,0.48778,1.31195,3.664e-05,3.664e-05,3.664e-05
18,13946.5,0.71831,0.42971,1.22811,0.9316,0.90668,0.95152,0.74888,0.85402,0.4557,1.28294,3.268e-05,3.268e-05,3.268e-05
19,14713.4,0.70285,0.39664,1.20289,0.92494,0.9066,0.94734,0.75096,0.84504,0.45239,1.26057,2.872e-05,2.872e-05,2.872e-05
20,15480.3,0.68293,0.38082,1.19449,0.9324,0.90639,0.95098,0.75637,0.82305,0.44047,1.24433,2.476e-05,2.476e-05,2.476e-05
21,16245.9,0.6601,0.3562,1.18065,0.93531,0.91703,0.95112,0.76262,0.81253,0.43544,1.25239,2.08e-05,2.08e-05,2.08e-05
22,17011.9,0.63663,0.33539,1.16346,0.94585,0.91664,0.95894,0.77361,0.80381,0.41257,1.24585,1.684e-05,1.684e-05,1.684e-05
23,17778.2,0.62097,0.31805,1.15465,0.94567,0.91677,0.9583,0.77951,0.79097,0.4111,1.2396,1.288e-05,1.288e-05,1.288e-05
24,18543.7,0.6052,0.30255,1.14489,0.95258,0.91501,0.95885,0.78487,0.78071,0.40389,1.22436,8.92e-06,8.92e-06,8.92e-06
25,19308.6,0.58932,0.28948,1.13063,0.95923,0.91596,0.96222,0.7901,0.76908,0.38888,1.2171,4.96e-06,4.96e-06,4.96e-06
