epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,1003.38,0.48089,2.13025,0.44076,0.20814,0.11545,0.00945,0.00553,0.48901,2.04592,0.72851,0.0667409,3.32924e-05,3.32924e-05
2,1941.37,0.2604,1.8992,0.21761,0.06816,0.42209,0.0268,0.01675,0.28023,2.18801,0.33018,0.0334383,6.39873e-05,6.39873e-05
3,2881.36,0.20432,1.82055,0.16935,0.26351,0.23315,0.05077,0.03671,0.27326,2.01214,0.34943,0.000132992,9.20423e-05,9.20423e-05
4,3820.12,0.2268,1.21765,0.20678,0.43565,0.36137,0.24838,0.18094,0.31415,1.80447,0.42362,8.812e-05,8.812e-05,8.812e-05
5,4758.22,0.23003,0.88436,0.22096,0.6246,0.43121,0.3881,0.27833,0.3089,1.34019,0.4325,8.416e-05,8.416e-05,8.416e-05
6,5696.43,0.22586,0.75937,0.22171,0.67624,0.50201,0.44106,0.31898,0.30423,1.27039,0.42336,8.02e-05,8.02e-05,8.02e-05
7,6634.59,0.21529,0.65982,0.21264,0.74964,0.5315,0.53366,0.37383,0.31367,1.18485,0.44259,7.624e-05,7.624e-05,7.624e-05
8,7572.58,0.2168,0.62403,0.2171,0.57502,0.6312,0.54126,0.38368,0.30325,1.16251,0.4338,7.228e-05,7.228e-05,7.228e-05
9,8511.29,0.20477,0.59259,0.20209,0.64982,0.63183,0.60325,0.425,0.30975,1.02506,0.45489,6.832e-05,6.832e-05,6.832e-05
10,9448.51,0.20445,0.55373,0.20092,0.59614,0.67707,0.59502,0.42807,0.30472,1.04225,0.44508,6.436e-05,6.436e-05,6.436e-05
11,10385.4,0.19979,0.53954,0.19662,0.68682,0.68417,0.64811,0.46665,0.3022,0.90265,0.44978,6.04e-05,6.04e-05,6.04e-05
12,11323.2,0.20008,0.52461,0.1992,0.699,0.67408,0.6302,0.45603,0.28946,1.01017,0.42044,5.644e-05,5.644e-05,5.644e-05
13,12259.1,0.19239,0.50036,0.19136,0.72963,0.68314,0.6685,0.48138,0.29436,0.89838,0.42164,5.248e-05,5.248e-05,5.248e-05
14,13196.6,0.1885,0.48637,0.18483,0.74308,0.6928,0.68447,0.4958,0.29407,0.85094,0.43105,4.852e-05,4.852e-05,4.852e-05
15,14134,0.18746,0.4761,0.18445,0.74036,0.7323,0.7145,0.51927,0.30201,0.81379,0.44525,4.456e-05,4.456e-05,4.456e-05
16,15072.6,0.3021,0.85786,0.36352,0.77887,0.75025,0.75551,0.551,0.2919,0.72614,0.43487,4.06e-05,4.06e-05,4.06e-05
17,16010.9,0.29138,0.76669,0.34099,0.80236,0.75681,0.78289,0.57537,0.27876,0.71571,0.40811,3.664e-05,3.664e-05,3.664e-05
18,16948.7,0.28226,0.72412,0.32764,0.8126,0.77003,0.79747,0.59062,0.28024,0.68498,0.42047,3.268e-05,3.268e-05,3.268e-05
19,17886.2,0.2803,0.69398,0.3303,0.82762,0.79903,0.82181,0.60484,0.2849,0.64823,0.42776,2.872e-05,2.872e-05,2.872e-05
20,18823.4,0.27492,0.66771,0.32393,0.83009,0.80379,0.82068,0.60485,0.28178,0.64408,0.41863,2.476e-05,2.476e-05,2.476e-05
21,19757.6,0.27285,0.63936,0.32294,0.84518,0.80767,0.83452,0.61414,0.27871,0.6249,0.4201,2.08e-05,2.08e-05,2.08e-05
22,20695.5,0.27059,0.61669,0.31678,0.84149,0.8118,0.83414,0.61567,0.27909,0.61205,0.42093,1.684e-05,1.684e-05,1.684e-05
23,21632.9,0.26841,0.60664,0.31123,0.85534,0.8189,0.84772,0.62558,0.27798,0.61466,0.42119,1.288e-05,1.288e-05,1.288e-05
